class,precision,recall,f1,support
building,0.9375,1.0,0.967741935483871,30
road,0.8620689655172413,0.8064516129032258,0.8333333333333334,31
vegetation,1.0,0.9629629629629629,0.9811320754716981,27
water,0.8787878787878788,0.90625,0.8923076923076924,32
